City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nkhotakota,-12.9274,34.2961,22.46,87,100,2.69,MW,1673060609
1,craig,40.5153,-107.5464,-0.03,86,100,6.17,US,1673060610
2,albany,42.6001,-73.9662,3.0,87,57,1.79,US,1673060611
3,hilo,19.7297,-155.09,29.04,92,7,0.89,US,1673060611
4,havoysund,70.9963,24.6622,-0.87,80,51,10.98,NO,1673060612
5,pavino,59.1139,46.1414,-28.57,96,27,3.42,RU,1673060612
6,zelenoborskiy,66.845,32.3622,-18.7,97,25,1.9,RU,1673060613
7,elban,50.1018,136.5094,-19.82,92,90,2.13,RU,1673060613
8,ilulissat,69.2167,-51.1,-10.99,52,40,4.12,GL,1673060614
9,vilhena,-12.7406,-60.1458,20.11,98,100,1.4,BR,1673060615
10,khatanga,71.9667,102.5,-45.02,100,96,0.84,RU,1673060616
11,punta arenas,-53.15,-70.9167,13.95,63,99,1.2,CL,1673060616
12,victoria,22.2855,114.1577,19.62,58,82,4.02,HK,1673060570
13,columbus,39.9612,-82.9988,2.44,75,100,4.12,US,1673060617
14,busselton,-33.65,115.3333,22.35,42,71,2.68,AU,1673060422
15,sao filipe,14.8961,-24.4956,22.55,67,100,5.64,CV,1673060618
16,hithadhoo,-0.6,73.0833,27.05,75,16,3.77,MV,1673060618
17,paamiut,61.994,-49.6678,-6.83,57,100,3.11,GL,1673060619
18,dunedin,-45.8742,170.5036,15.45,95,50,4.39,NZ,1673060412
19,certegui,5.3707,-76.6044,22.42,99,96,0.67,CO,1673060620
20,norman wells,65.282,-126.8329,-26.64,100,62,0.88,CA,1673060620
21,kirando,-7.4167,30.6,22.3,82,100,4.09,TZ,1673060621
22,gat,31.61,34.7642,14.67,100,22,3.28,IL,1673060622
23,ushuaia,-54.8,-68.3,9.81,81,40,6.69,AR,1673060622
24,mayo,38.8876,-76.5119,7.19,64,100,2.06,US,1673060623
25,upernavik,72.7868,-56.1549,-26.85,87,5,4.73,GL,1673060623
26,kamenka,51.3223,42.7678,-18.71,85,6,5.44,RU,1673060624
27,aklavik,68.2191,-135.0107,-25.13,98,98,2.7,CA,1673060624
28,mataura,-46.1927,168.8643,19.84,40,16,3.66,NZ,1673060625
29,kavieng,-2.5744,150.7967,29.14,67,75,1.69,PG,1673060626
30,souillac,-20.5167,57.5167,25.48,74,99,4.97,MU,1673060626
31,cayenne,4.9333,-52.3333,23.02,94,0,0.0,GF,1673060626
32,cape town,-33.9258,18.4232,17.29,77,0,7.6,ZA,1673060483
33,lebu,-37.6167,-73.65,14.96,87,86,0.55,CL,1673060628
34,balkhash,46.844,74.9804,-2.66,86,75,4.0,KZ,1673060629
35,saskylakh,71.9167,114.0833,-45.95,100,76,2.14,RU,1673060630
36,lahij,13.1667,44.5833,19.35,87,24,1.75,YE,1673060630
37,kirensk,57.7853,108.1119,-8.96,95,100,2.39,RU,1673060344
38,eskilstuna,59.3666,16.5077,-2.12,89,100,5.85,SE,1673060631
39,esperance,-33.8667,121.9,18.26,64,88,6.53,AU,1673060417
