City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shakawe,-18.3667,21.85,26.61,50,15,2.65,BW,1673507475
1,wanning,18.8003,110.3967,25.91,75,18,3.27,CN,1673507475
2,torbay,47.6666,-52.7314,-7.5,87,34,0.45,CA,1673507476
3,yellowknife,62.456,-114.3525,-15.8,84,100,4.92,CA,1673507279
4,thompson,55.7435,-97.8558,-20.79,99,15,1.86,CA,1673507476
5,deputatskiy,69.3,139.9,-43.36,96,45,2.3,RU,1673507477
6,jamestown,42.097,-79.2353,3.64,61,100,5.14,US,1673507477
7,mataura,-46.1927,168.8643,15.92,58,100,2.43,NZ,1673507477
8,sitka,57.0531,-135.33,3.94,87,0,3.09,US,1673507478
9,qarqin,37.4185,66.0436,-8.88,58,98,2.44,AF,1673507478
10,ponta do sol,32.6667,-17.1,16.35,72,4,3.13,PT,1673507478
11,albany,42.6001,-73.9662,0.37,73,97,0.45,US,1673507478
12,nome,64.5011,-165.4064,-9.94,92,100,2.57,US,1673507479
13,ushuaia,-54.8,-68.3,6.81,87,75,1.03,AR,1673507479
14,alto araguaia,-17.3147,-53.2153,19.43,97,100,2.3,BR,1673507479
15,chokurdakh,70.6333,147.9167,-31.75,98,100,2.17,RU,1673507479
16,ladnun,27.65,74.3833,23.65,22,0,2.24,IN,1673507481
17,atuona,-9.8,-139.0333,25.63,74,6,5.71,PF,1673507482
18,cidreira,-30.1811,-50.2056,21.54,84,0,4.6,BR,1673507482
19,sovik,65.9333,12.4667,5.23,78,75,4.63,NO,1673507482
20,omsukchan,62.5333,155.8,-30.79,100,99,1.49,RU,1673507482
21,praia,14.9215,-23.5087,21.3,78,0,8.75,CV,1673507483
22,saraland,30.8207,-88.0706,20.17,86,100,3.5,US,1673507483
23,atar,20.5169,-13.0499,16.54,14,0,3.7,MR,1673507484
24,anadyr,64.75,177.4833,-23.62,76,40,4.0,RU,1673507484
25,bluff,-46.6,168.3333,13.24,69,44,4.18,NZ,1673507484
26,tabou,4.423,-7.3528,25.19,83,3,0.27,CI,1673507485
27,san cristobal,7.7669,-72.225,17.74,91,69,0.29,VE,1673507485
28,provideniya,64.3833,-173.3,-14.19,94,100,2.92,RU,1673507485
29,puerto ayora,-0.7393,-90.3518,22.53,96,93,2.16,EC,1673507485
30,barrow,71.2906,-156.7887,-22.99,70,0,13.38,US,1673507334
31,vaini,-21.2,-175.2,27.09,94,40,2.06,TO,1673507486
32,paamiut,61.994,-49.6678,-13.04,82,52,5.34,GL,1673507486
33,salalah,17.0151,54.0924,26.28,43,0,6.93,OM,1673507487
34,natal,-5.795,-35.2094,23.36,94,40,1.54,BR,1673507487
35,gaoual,11.75,-13.2,19.03,30,31,1.07,GN,1673507487
36,geraldton,-28.7667,114.6,26.23,53,0,7.2,AU,1673507488
37,avarua,-21.2078,-159.775,25.03,78,20,2.06,CK,1673507488
38,punta arenas,-53.15,-70.9167,9.06,76,0,2.06,CL,1673507489
39,castro,-24.7911,-50.0119,17.01,93,100,1.01,BR,1673507490
40,northam,51.0333,-4.2167,11.33,98,100,13.0,GB,1673507490
41,cuamba,-14.8031,36.5372,20.4,98,100,0.83,MZ,1673507490
42,zarichne,51.8126,26.129,-2.46,92,27,4.22,UA,1673507491
43,mar del plata,-38.0023,-57.5575,16.04,85,0,3.13,AR,1673507491
44,mtimbira,-8.7833,36.35,28.4,66,53,0.44,TZ,1673507491
45,saldanha,-33.0117,17.9442,19.58,78,100,4.57,ZA,1673507492
46,seoul,37.5683,126.9778,11.66,25,0,1.48,KR,1673507110
47,rikitea,-23.1203,-134.9692,25.97,80,59,8.05,PF,1673507492
48,olinda,-8.0089,-34.8553,26.85,69,40,3.09,BR,1673507493
49,karratha,-20.7377,116.8463,36.37,33,5,7.91,AU,1673507493
50,pemangkat,1.1667,108.9667,27.74,72,100,2.6,ID,1673507494
51,dikson,73.5069,80.5464,-29.58,93,100,3.35,RU,1673507494
52,hobart,-42.8794,147.3294,24.04,55,20,6.17,AU,1673507413
53,palimbang,6.2106,124.1894,26.71,88,100,3.88,PH,1673507495
54,butaritari,3.0707,172.7902,27.39,79,100,7.52,KI,1673507495
55,viedma,-40.8135,-62.9967,13.52,63,1,4.48,AR,1673507496
56,balabac,7.9868,117.0645,27.79,70,100,2.03,PH,1673507496
57,sept-iles,50.2001,-66.3821,-18.56,86,3,4.16,CA,1673507496
58,hals,56.9961,10.3081,3.98,94,87,5.6,DK,1673507497
59,handan,36.6006,114.4678,5.45,57,100,2.55,CN,1673507429
60,boqueirao,-7.5,-36.1333,21.26,89,26,3.04,BR,1673507497
